Lf.-Nr.               , Reg.-Pos.             , ab                    , bis                   , Produktbezeichnung           , Hersteller                                                                          , Land    , Typ    , n     , Bemerkungen
001                   , -                     , 1977                  , 1983                  , Roto                         , Ferrowohlen AG                                                                      , CH      , K      , 1'336 , 
002                   , -                     , 1981                  , 1984                  , Baro                         , Ferrowohlen AG                                                                      , CH      , NH     , 283   , 
003                   , -                     , 1983                  , 1984                  , Baro-S                       , Ferrowohlen AG                                                                      , CH      , NH     , 30    , 
004                   , 1.1                   , 1988                  , 1990                  , Baro-S 1                     , Ferrowohlen AG                                                                      , CH      , NH     , 90    , 
005                   , 1.2                   , 1998                  , 1990                  , Baro-S 2                     , Ferrowohlen AG                                                                      , CH      , NH     , 246   , siehe auch Baro 500 S  (Wechsel Produktbezeichnung)
006                   , 1.2                   , 1991                  , 1995                  , Baro 500 S                   , Ferrowohlen AG                                                                      , CH      , NH     , 0     , siehe auch Baro-S 2  (Wechsel Produktbezeichnung)
007                   , -                     , -                     , -                     , Box-Stahl                    , Monteforno AG                                                                       , CH      , NH     , 17    , 
008                   , 2.1                   , 1977                  , 1989                  , Box-Ultra                    , Monteforno AG                                                                       , CH      , NH     , 3'494 , 
009                   , 2.2                   , 1988                  , 1995                  , Topar 500 S  (Monteforno)    , Monteforno AG                                                                       , CH      , T      , 428   , "Hersteller: Monteforno AG,  von Moos Stahl AG, von Roll AG"
010                   , 2.3                   , 1977                  , 1990                  , Box-Ring                     , Monteforno AG                                                                       , CH      , KR     , 255   , 
011                   , -                     , -                     , -                     , Tor 42                       , von Moos Stahl AG                                                                   , CH      , K      , 164   , 
012                   , -                     , 1977                  , 1983                  , Tor 50                       , von Moos Stahl AG                                                                   , CH      , K      , 1'627 , 
013                   , 3.1                   , 1983                  , 2004                  , Topar 500 S (von  Moos)      , von Moos Stahl AG                                                                   , CH      , T      , 546   , "Hersteller: Monteforno AG,  von Moos Stahl AG, von Roll AG"
014                   , 3.2                   , 1988                  , 1997                  , Topar-R 500 S                , von Moos Stahl AG                                                                   , CH      , WR     , 256   , 1997 Ersatz Pos. 3.2 durch  Pos. 3.4
015                   , 3.3                   , 1977                  , 1998                  , Torip                        , von Moos Stahl AG                                                                   , CH      , KR     , 448   , 
016                   , 3.4                   , 1997                  , 1999                  , Topar-R 500 S                , von Moos Stahl AG                                                                   , CH      , WR     , 0     , 1997 Ersatz Pos. 3.2 durch  Pos. 3.4
017                   , 3.5                   , 2004                  , dato                  , Top 700                      , von Moos Stahl AG / Swiss  Steel AG                                                 , CH      , T      , 0     , 
018                   , -                     , -                     , -                     , Caron                        , von Roll AG                                                                         , CH      , K      , 16'188, 
019                   , -                     , 1977                  , 1983                  , Roll-S                       , von Roll AG                                                                         , CH      , K      , 15'894, 1983 durch Topar 500 S  abgelöst
020                   , 4.1                   , 1983                  , 1998                  , Topar 500 S (von  Roll)      , von Roll AG                                                                         , CH      , T      , 459   , "Hersteller: Monteforno AG,  von Moos Stahl AG, von Roll AG"
021                   , 4.2                   , 1977                  , 2005                  , Roll-R                       , von Roll AG                                                                         , CH      , KR     , 441   , 
022                   , 4.3                   , 1992                  , 1996                  , Topar vRs 500  (TR)          , von Roll AG                                                                         , CH      , TR     , 101   , 1996-1997 war Topar vRs auf  Pos. 4.4 als warmgewalztes Ringmaterial aufgeführt
023                   , 4.3                   , 1998                  , 2000                  , Roll-T                       , von Roll AG / Stahl  Gerlafingen AG                                                 , CH      , KR     , 0     , 
024                   , 4.4                   , 1996                  , 1997                  , Topar vRs 500 (WR)           , von Roll AG                                                                         , CH      , WR     , 0     , 
025                   , 4.5                   , 1997                  , dato                  , topar-R                      , von Roll AG / Stahl  Gerlafingen AG                                                 , CH      , TR     , 0     , 
026                   , 4.6                   , 1998                  , 2004                  , topar-S                      , Stahl Gerlafingen AG                                                                , CH      , T      , 0     , 
027                   , 4.7                   , 2003                  , dato                  , topar-S 500C                 , Stahl Gerlafingen AG                                                                , CH      , T      , 0     , 
028                   , -                     , 1978                  , 1983                  , Rumi                         , Metallurgica  Rumi S.p.A.                                                           , I       , NH     , 94    , 
029                   , 5.1                   , 1984                  , 1991                  , Montello                     , Metallurgica di Montello  S.p.A.                                                    , I       , NH     , 17    , 
030                   , 5.2                   , 1991                  , 1998                  , Montello MTC 500 S           , Montello S.p.A.                                                                     , I       , T      , 0     , 
031                   , 5.3                   , 1994                  , 1998                  , Montello WR 500 S            , Montello S.p.A.                                                                     , I       , WR     , 0     , 
032                   , 6.1                   , 1980                  , 1989                  , Feralpi 5000                 , Ferriera Feralpi S.p.A.                                                             , I       , NH     , 93    , 
033                   , 6.2                   , 1988                  , dato                  , FTC 500                      , Ferriera Feralpi S.p.A. /  Feralpi Siderurgica S.p.A.                               , I       , T      , 310   , 
034                   , 6.3                   , 1989                  , 1992                  , F 500 R                      , Ferriera Feralpi S.p.A.                                                             , I       , TR     , 32    , 
035                   , 6.4                   , 2006                  , dato                  , FA 500 WR                    , Feralpi Siderurgica S.p.A.                                                          , I       , WR     , 0     , 
036                   , 7.1                   , 1980                  , 1992                  , OLS                          , Officine Laminatoi Sebino                                                           , I       , NH     , 456   , 
037                   , 7.2                   , 1992                  , 1994                  , OLS 500 S                    , Officine Laminatoi Sebino                                                           , I       , T      , 22    , 
038                   , -                     , 1981                  , 1984                  , Leali                        , Leali Luigi S.p.A                                                                   , I       , NH     , 0     , 
039                   , 8.1                   , 1988                  , 1988                  , Leali AREX 490               , Leali Luigi S.p.A                                                                   , I       , NH     , 0     , 
